K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211420394,KTWO211420394-C18,18,STAR,27,132.5001000,11.9466910,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004_GO18049,-10.000,2.100,-3.800,1.500,,,,,14.124,0.080,13.563,0.040,13.964,0.460,13.393,0.040,13.462,0.460,,,12.463,0.021,12.189,0.022,12.155,0.023,13.612,gri,,,,510-048337,08500003+1156481,,2018-10-17 16:22:05,0.999,0.001,0.997,175.980,136.958,115.301,6,1,13,,,36,8.202e-4
211420549,KTWO211420549-C05,5,STAR,31,132.7159500,11.9488520,SC,KSC,1,2015-04-27 02:18:41,2015-07-10 22:39:14,GO5074,-8.100,1.300,-0.400,2.000,,,,,13.309,0.020,12.751,0.020,13.090,0.280,12.616,0.050,12.645,0.280,,,11.646,0.022,11.382,0.020,11.321,0.018,12.779,gri,,,,510-048418,08505182+1156559,,2019-03-07 14:46:15,1.000,0.000,0.955,,,,6,1,13,,,23,2.616e-4
211420549,KTWO211420549-C05,5,STAR,31,132.7159500,11.9488520,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5074,-8.100,1.300,-0.400,2.000,,,,,13.309,0.020,12.751,0.020,13.090,0.280,12.616,0.050,12.645,0.280,,,11.646,0.022,11.382,0.020,11.321,0.018,12.779,gri,,,,510-048418,08505182+1156559,,2019-03-07 17:05:37,1.000,0.000,0.955,,,,6,1,13,,,23,2.616e-4
211420549,KTWO211420549-C16,16,STAR,23,132.7159500,11.9488520,SC,KSC,,2017-12-07 23:01:47,2018-02-25 12:39:22,GO16010,-8.100,1.300,-0.400,2.000,,,,,13.309,0.020,12.751,0.020,13.090,0.280,12.616,0.050,12.645,0.280,,,11.646,0.022,11.382,0.020,11.321,0.018,12.779,gri,,,,510-048418,08505182+1156559,,2018-05-24 13:38:25,1.000,0.000,0.956,,,,15,4,52,,,23,2.616e-4
211420549,KTWO211420549-C16,16,STAR,23,132.7159500,11.9488520,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16010,-8.100,1.300,-0.400,2.000,,,,,13.309,0.020,12.751,0.020,13.090,0.280,12.616,0.050,12.645,0.280,,,11.646,0.022,11.382,0.020,11.321,0.018,12.779,gri,,,,510-048418,08505182+1156559,,2018-05-24 18:38:02,1.000,0.000,0.956,131.465,124.847,102.696,15,4,52,,,23,2.616e-4
200200610,KTWO200200610-C16,16,M67,23,132.7163610,11.9491750,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064_GO16069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-24 20:26:54,1.000,0.000,1.000,,,,15,4,52,,,,0.031
200233270,KTWO200233270-C18,18,M67,27,132.7165550,11.9489770,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18002_GO18003_GO18004_GO18005_GO18011_GO18016_GO18027_GO18029_GO18030_GO18034_GO18036_GO18037_GO18044_GO18049_GO18050_GO18051_GO18054_GO18056_GO18059_GO18063_GO18065_GO18068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-17 15:28:29,1.000,0.000,1.000,,,,6,1,13,,,,0.036
211420952,KTWO211420952-C05,5,STAR,31,132.5483100,11.9545160,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-12.000,3.000,-1.000,3.000,,,22.795,0.336,,,,,18.927,0.009,17.548,0.005,16.929,0.005,16.644,0.009,15.513,0.050,14.737,0.054,14.589,0.063,17.528,gri,,,5972-301-6-0116-0149,,08501159+1157162,,2019-03-07 17:05:37,1.000,0.000,0.632,2761.468,2477.188,2065.440,6,1,13,,,36,0.001
211420952,KTWO211420952-C16,16,STAR,23,132.5483100,11.9545160,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064,-12.000,3.000,-1.000,3.000,,,22.795,0.336,,,,,18.927,0.009,17.548,0.005,16.929,0.005,16.644,0.009,15.513,0.050,14.737,0.054,14.589,0.063,17.528,gri,,,5972-301-6-0116-0149,,08501159+1157162,,2018-05-24 18:38:24,1.000,0.000,0.655,2867.541,2276.853,1828.357,15,4,52,,,36,0.001
211420952,KTWO211420952-C18,18,STAR,27,132.5483100,11.9545160,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-12.000,3.000,-1.000,3.000,,,22.795,0.336,,,,,18.927,0.009,17.548,0.005,16.929,0.005,16.644,0.009,15.513,0.050,14.737,0.054,14.589,0.063,17.528,gri,,,5972-301-6-0116-0149,,08501159+1157162,,2018-10-17 14:48:54,1.000,0.000,0.678,,,,6,1,13,,,36,0.001
