        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
19.0011,15.0752,0.0,16.7771,17.4751,16.4863,11.585979,68.3606,-81.2892,13.079,13.639000000000001,   12.880  0000362,132.80745
13.3284,12.5923,99.5991,12.5536,12.7304,12.712810000000001,11.586404,-0.3212,-0.0556,11.366,11.62,   11.317  0000363,132.87469
12.42,10.7301,99.12,10.9235,11.1779,11.11164,11.585764999999999,-1.8687,0.3839,8.847999999999999,9.41,    8.722  0000364,132.70684
14.7701,13.8847,99.5054,13.8983,14.1019,14.04156,11.587411999999999,0.0887,0.3649,12.603,12.921,   12.563  0000367,132.74108
20.7358,17.2603,72.9114,18.3686,19.1241,19.429389999999998,11.585905,-1.4524,-2.9534,15.42,16.105999999999998,   14.861  0000369,132.45331000000002
17.193,15.6064,99.1227,15.8126,16.2197,15.963,11.588186,0.5377,0.0672,13.925,14.395,   13.819  0000371,132.82856999999998
18.1745,16.0722,97.668,16.4637,17.0212,16.60647,11.588497,0.9671,0.4266,14.181,14.856,   14.112  0000374,132.72816
20.7356,17.3045,53.0895,18.4755,19.3536,18.43535,11.590266999999999,5.8225,-1.5705,15.263,16.006,   15.039  0000376,132.94268
16.8109,15.9637,0.0004,15.9631,16.1635,16.10997,11.591814,6.5646,-2.5057,14.800999999999998,14.960999999999999,   14.435  0000381,132.83075
11.0403,10.6223,0.0198,10.411,10.6088,10.74598,11.59036,-4.2472,-11.4111,9.374,9.557,    9.264  0000383,132.45826
19.4228,18.0437,65.3928,18.2343,18.5942,19.27863,11.592365,3.5888,-4.7594,16.229,16.855999999999998,   16.090  0000384,132.7604
14.8719,14.2597,2.0167,14.2381,14.4185,14.2379,11.59052,10.0801,11.0633,12.952,13.205,   12.889  0000387,132.3762
13.9868,13.215,99.0799,13.2172,13.3763,13.34082,11.593157000000001,0.0993,0.8085,12.040999999999999,12.294,   11.959  0000390,132.73197
16.3895,14.3458,0.0,14.7979,15.3382,14.88449,11.592105,7.1199,-24.4334,12.437999999999999,12.902000000000001,   12.222  0000391,132.43461000000002
16.7742,15.9258,80.1788,15.9498,16.1377,16.321,11.592367999999999,2.6654,2.1641,14.623,15.030999999999999,   14.716  0000394,132.45203999999998
18.9996,16.3065,86.2002,17.1048,17.682,17.13423,11.592983,2.1925,-0.3117,14.387,14.98,   14.233  0000395,132.40902
16.6237,14.9909,0.0005,14.6696,15.3644,14.561720000000001,11.593057,8.453,-15.5425,11.709000000000001,12.323,   11.480  0000396,132.37595
18.6151,16.0129,0.0008,16.7167,17.374,16.78838,11.595880000000001,-1.3314,-12.3146,14.095999999999998,14.69,   13.832  0000399,132.75718
18.7608,16.3779,98.8747,16.9009,17.5524,17.04627,11.59489,-2.2071,0.3217,14.458,15.055,   14.331  0000400,132.53877
