C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:51:46

 IdentList
----------

 # 	  typed ident  	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)      
---	---------------	-------------------------	---	-----------------------------------------	-----------------------------------
137	TYC 691-1509-1 	HD 30210                 	PM*	*,*,*iC,PM*,IR,UV,**                     	071.5072498681939 +11.7055891010617
138	TYC 694-225-1  	HD 29461                 	PM*	*,*,*iC,PM*,IR                           	069.7388663641579 +14.1055600050553
139	TYC 696-1789-1 	HD 30869                 	SB*	**,SB*,SB*,*,*,*iC,TT*,IR,UV,X           	072.95828225 +13.65515233          
140	TYC 702-2789-1 	* h Ori                  	SB*	**,SB*,SB*,*,*,*iC,V*,IR,UV              	077.3318567747076 +09.8295823527185
141	TYC 1226-710-1 	HD 16909                 	SB*	SB*,SB*,*,PM*,PM*,IR                     	040.8370214710416 +19.4291757139190
142	TYC 1230-1425-1	* 47 Ari                 	PM*	**,*,*,*iC,PM*,PM*,IR,UV,X               	044.5217554919028 +20.6687325843237
143	TYC 1253-716-1 	HD 24357                 	PM*	*,*,*iC,PM*,IR,UV                        	058.2918587167061 +17.3270860353731
144	TYC 1254-178-1 	HD 285367                	PM*	*,*,*iC,PM*,IR                           	061.4153125394604 +17.9377117150777
145	TYC 1254-866-1 	HD 25202                 	PM*	**,*,*,*iC,PM*,IR,UV                     	060.2031912442454 +18.1940000757299
146	TYC 1264-348-1 	* 55 Tau                 	** 	*,*,*iC,IR,UV,X,**,**                    	064.97857166 +16.52259120          
147	TYC 1264-755-1 	HD 27691A                	PM*	*,UV,**,PM*                              	065.684050 +15.056081              
148	TYC 1264-1008-1	* 63 Tau                 	SB*	SB*,*,*,*iC,PM*,IR,UV,X,SB*              	065.8544332051660 +16.7772663648766
149	TYC 1264-1009-1	* gam Tau                	** 	**,*,*,*iC,PM*,V*,IR,UV,X                	064.9483493712 +15.6276431728      
150	TYC 1264-1010-1	* 58 Tau                 	dS*	*,*,*iC,PM*,V*,dS*,IR,UV                 	065.1512905182878 +15.0954533857217
151	TYC 1265-59-1  	V* V906 Tau              	BY*	SB*,*,*,*iC,PM*,V*,BY*,IR,X              	066.6025614432764 +16.8533593977010
152	TYC 1265-791-1 	HD 28363A                	PM*	**,*,PM*                                 	067.249071 +16.159097              
153	TYC 1265-1169-1	HD 28527                 	dS*	**,*,*,*iC,PM*,V*,dS*,IR,UV              	067.6401377199535 +16.1940172534494
154	TYC 1265-1170-1	* tet01 Tau              	SB*	**,SB*,SB*,*,*,*iC,IR,UV,X               	067.1437334754 +15.9621803978      
155	TYC 1265-1172-1	* tet02 Tau              	dS*	**,SB*,*,*,*iC,PM*,V*,dS*,dS*,IR,UV,X,X  	067.1656022796287 +15.8708673908050
156	TYC 1265-1173-1	* 85 Tau                 	PM*	*,*,*iC,PM*,V*,IR,UV,X                   	067.9656639283109 +15.8516211001513
157	TYC 1265-1174-1	* 81 Tau                 	SB*	**,SB*,SB*,*,*,*iC,*i*,PM*,IR,UV         	067.6620382553829 +15.6918784948651
158	TYC 1265-1175-1	* 80 Tau A               	PM*	**,*,PM*                                 	067.535829 +15.637833              
159	TYC 1265-1176-1	* 71 Tau                 	dS*	**,SB*,*,*,*iC,PM*,V*,dS*,IR,UV,X        	066.5865542458033 +15.6182745907241
160	TYC 1266-112-1 	HD 29310                 	BY*	**,**,*,*,*iC,V*,BY*,IR,UV,X             	069.3832422209078 +15.1464809540888
161	TYC 1266-398-1 	HD 285931                	SB*	**,**,SB*,*,*,*iC,PM*,IR,X               	068.4938926540659 +15.1636897484907
162	TYC 1266-1417-1	* 89 Tau                 	** 	**,*,*,*iC,PM*,IR,UV                     	069.5393713486857 +16.0332530873214
163	TYC 1266-1418-1	* sig02 Tau              	PM*	*,*iC,UV,**,*,PM*,IR                     	069.8187596042 +15.9179730419      
164	TYC 1267-210-1 	HD 29608                 	SB*	**,**,SB*,SB*,*,*,*iC,PM*,IR,X           	070.1059614598351 +16.5137215386496
165	TYC 1268-707-1 	HD 285663                	PM*	**,*,PM*,IR,X,*,*iC                      	064.5916603262935 +17.4216584045594
166	TYC 1268-1267-1	* del Tau                	SB*	**,SB*,SB*,*,*,*iC,PM*,V*,IR,UV,X        	065.7337543173897 +17.5425155464277
167	TYC 1269-294-1 	HD 28394                 	SB*	SB*,SB*,*,*,*iC,PM*,IR,X                 	067.3356622776374 +17.5449541193898
168	TYC 1269-829-1 	HD 27990                 	SB*	**,**,SB*,*,*,*iC,PM*,IR,X               	066.4482761374247 +18.0171931958702
169	TYC 1269-1027-1	HD 28634                 	SB*	SB*,SB*,*,*,*iC,PM*,IR,X,X               	067.9046290549699 +17.7096992905437
170	TYC 1269-1244-1	* del02 Tau              	PM*	**,*,*,*iC,PM*,IR,UV,X                   	066.0240051212644 +17.4441325328018
171	TYC 1269-1246-1	* del03 Tau A            	PM*	**,*,PM*                                 	066.3724252166783 +17.9279056483558
172	TYC 1271-1229-1	HD 30355                 	PM*	*,*,*iC,PM*,IR                           	071.9065617835228 +18.2587480773873
173	TYC 1271-1301-1	HD 30264                 	** 	**,*,*,*iC,PM*,IR,X                      	071.7060778868570 +17.7483338894863
174	TYC 1272-439-1 	HD 27406                 	BY*	*,*,*iC,PM*,V*,BY*,IR,X                  	065.0540278696257 +19.2334786457434
175	TYC 1272-912-1 	V* V988 Tau              	BY*	SB*,*,*,*iC,PM*,V*,BY*,IR,X              	065.8451717058920 +19.6587653440727
176	TYC 1273-138-1 	HD 27989                 	BY*	**,**,SB*,*,*,*iC,V*,BY*,IR,X            	066.46552982 +18.86405986          
177	TYC 1273-1104-1	* eps Tau                	** 	**,*,*,*iC,IR,UV                         	067.1541617392 +19.1804290564      
178	TYC 1276-1622-1	* 51 Tau                 	SB*	**,SB*,SB*,*,*,*iC,*i*,PM*,IR,UV,X       	064.5967033778292 +21.5792228376170
179	TYC 1277-1626-1	* kap01 Tau              	dS*	**,*,*,*iC,PM*,V*,dS*,IR,UV              	066.3423543858 +22.2938715375      
180	TYC 1277-1627-1	* kap02 Tau              	dS*	**,*,*,*iC,PM*,V*,dS*,IR,UV              	066.3542366991092 +22.2000016232817
181	TYC 1277-1628-1	HD 28226                 	PM*	**,*,*,*iC,PM*,IR,UV                     	067.0032638868763 +21.6199034769511
182	TYC 1281-792-1 	* 101 Tau                	PM*	**,*,*,*iC,PM*,IR,UV,X                   	074.9346732731015 +15.9167329209552
183	TYC 1284-332-1 	HD 30676                 	SB*	SB*,*,*,*iC,PM*,IR,UV,X                  	072.5997026728587 +17.2026408475395
184	TYC 1288-1706-1	* i Tau                  	dS*	**,*,*,*iC,V*,dS*,IR,UV                  	072.8435533081806 +18.8399047757989
185	TYC 1292-770-1 	HD 284787                	PM*	*,*,*iC,PM*,IR,X                         	072.1755307610020 +21.1010451539524
186	TYC 1293-2747-1	* iot Tau                	** 	**,*,*,*iC,PM*,IR,UV                     	075.7739398445388 +21.5899626864141
187	TYC 1302-362-1 	* 122 Tau                	PM*	*,*,*iC,PM*,IR,UV                        	084.2655645409041 +17.0403283448478
188	TYC 1309-1314-1	HD 36707                 	V* 	**,*,V*,IR                               	083.6524746619765 +21.6222648513256
189	TYC 1815-309-1 	HD 284163A               	SB*	**,SB*,SB*,*,*,PM*,IR                    	062.984262 +23.636325              
190	TYC 1816-1893-1	* ups Tau                	dS*	**,*,*,*iC,PM*,V*,dS*,IR,UV              	066.5769319833 +22.8135801383      
191	TYC 1820-1157-1	HD 27731                 	PM*	*,*,*iC,PM*,IR,UV,X                      	065.8766681687652 +24.4054091337614
192	TYC 1826-1301-1	HD 26090                 	** 	**,*,*,Em*,PM*,IR                        	062.2264480341329 +29.1906133427081
193	TYC 1830-2128-1	V* V1116 Tau             	dS*	*,*,*iC,PM*,V*,dS*,IR,UV                 	069.1214503682692 +23.3408420665600
194	TYC 632-608-1  	BD+08 392B               	PM*	**,*,PM*                                 	038.1440642604207 +09.5891108775193
195	TYC 635-90-1   	HD 15387                 	PM*	*,PM*,IR                                 	037.2379863915101 +12.0035089089982
196	TYC 644-477-1  	TYC 644-477-1            	PM*	*,PM*,IR                                 	043.5602975275879 +10.7026626213124
197	TYC 1272-67-1  	HD 27281                 	PM*	*,PM*,IR                                 	064.8196024862536 +19.7245675688415
198	TYC 665-1048-1 	HD 24971                 	PM*	*,*,PM*,IR                               	059.6492503081445 +13.1050245880205
199	TYC 1272-945-1 	HD 284401                	PM*	*,PM*,IR                                 	065.8407390170992 +20.5843186798605
200	TYC 1814-794-1 	HD 284155                	PM*	*,*,*iC,PM*,IR                           	062.1508776682556 +23.7686110334322
201	TYC 1821-255-1 	HG 8-41                  	PM*	*,*,*iC,PM*,PM*,IR                       	059.7905718370844 +26.4760933122333
202	TYC 1218-269-1 	HD 14426                 	PM*	*,PM*,IR                                 	035.0565211764689 +17.6345043941298
203	TYC 1240-134-1 	HD 20600                 	PM*	*,PM*,IR                                 	049.8709843996382 +19.7205403153329
204	TYC 1240-572-1 	TYC 1240-572-1           	PM*	*,PM*,IR                                 	048.8000613770489 +19.1812564792925
