HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod,RAJ2000_HIP,DEJ2000_HIP,RAJ2000_TYC,DEJ2000_TYC,DEJ2000_GaiaDR1,RAJ2000_GaiaDR1,RAJ2000,DEJ2000,ID,RAJ2000_epoch2000,DEJ2000_epoch2000
22253.0,1831-1894-1,3413146910255989248,0.8079999999999999,0.8476,40.876999999999995,1.026,5.0,18.498,0.16899999999999998,71.8591169730567,23.0509226755112,71.8591169730567,23.0509226755112,23.0507504757614,71.85947427839952,71.8591049405532,23.050928058112373,3413146910255989248,71.8591049405532,23.050928058112373
19554.0,80-1093-1,,0.7935,0.851,36.6,1.2,5.0,26.654,0.248,62.8345097165454,5.5230520933949,,,,,62.8345097165454,5.5230520933949,19554.0,,
23701.0,110-1206-1,,0.46,0.9276,42.06,1.013,5.0,19.99,0.935,76.4182504405885,6.4652012739314,,,,,76.4182504405885,6.4652012739314,23701.0,,
20751.0,672-425-1,,1.7428,0.6275,40.296,1.02,5.0,23.173000000000002,0.41,66.7011134229419,10.8710947577362,,,,,66.7011134229419,10.8710947577362,20751.0,,
20745.0,676-389-1,,2.3247,0.5078,40.484,1.016,5.0,25.107,0.675,66.67842853,12.68657875,,,,,66.67842853,12.68657875,20745.0,,
20419.0,676-680-1,,1.4302,0.6985,39.915,1.02,5.0,21.725,0.48700000000000004,65.6070148925083,11.3057237178506,,,,,65.6070148925083,11.3057237178506,20419.0,,
20901.0,677-1116-1,,0.6249,0.8907,39.9,4.1,5.0,21.115,0.183,67.2090158449306,13.0476042787042,,,,,67.2090158449306,13.0476042787042,20901.0,,
20219.0,679-750-1,,1.2621,0.7381,42.0,2.5,5.0,21.947,0.195,64.9904356455334,14.0352054116751,,,,,64.9904356455334,14.0352054116751,20219.0,,
21273.0,681-1151-1,,1.9616,0.5804,37.7,1.345,5.0,,,68.46215639,14.8444231189,,,,,68.46215639,14.8444231189,21273.0,,
20873.0,681-1152-1,,4.4515,0.2167,41.0,1.044,5.0,21.862,0.37799999999999995,67.0975235492284,14.740943338288,,,,,67.0975235492284,14.740943338288,20873.0,,
21036.0,681-1153-1,,0.2458,0.9699,38.8,1.2,5.0,22.19,0.209,67.6556774736377,13.7244027891201,,,,,67.6556774736377,13.7244027891201,21036.0,,
21670.0,682-1726-1,,4.0693,0.2541,36.3,1.2,5.0,,,69.7756628160354,7.8709884069673,,,,,69.7756628160354,7.8709884069673,21670.0,,
22221.0,683-688-1,,12.8023,0.0051,42.419,1.006,5.0,,,71.6899501290583,9.0173481221779,,,,,71.6899501290583,9.0173481221779,22221.0,,
22044.0,687-1627-1,,0.9268,0.8190000000000001,39.6,1.1179999999999999,5.0,,,71.1076189780934,11.1461382478033,,,,,71.1076189780934,11.1461382478033,22044.0,,
22550.0,688-43-1,,0.7089,0.8711,42.846000000000004,1.014,5.0,21.397,0.392,72.8022019149742,11.0680226645937,,,,,72.8022019149742,11.0680226645937,22550.0,,
21589.0,690-1547-1,,0.968,0.809,44.7,5.0,5.0,22.25,0.265,69.5394235687195,12.5108310618623,,,,,69.5394235687195,12.5108310618623,21589.0,,
22157.0,691-1509-1,,2.3554,0.502,43.0,1.0,5.0,,,71.5072498681939,11.7055891010617,,,,,71.5072498681939,11.7055891010617,22157.0,,
21654.0,694-225-1,,0.4231,0.9354,41.378,1.0070000000000001,5.0,22.77,0.319,69.7388663641579,14.1055600050553,,,,,69.7388663641579,14.1055600050553,21654.0,,
22607.0,696-1789-1,,3.589,0.3094,41.004,1.028,5.0,,,72.95828225,13.65515233,,,,,72.95828225,13.65515233,22607.0,,
23983.0,702-2789-1,,0.6455,0.8859,44.56,1.01,5.0,19.014,0.23600000000000002,77.3318567747076,9.8295823527185,,,,,77.3318567747076,9.8295823527185,23983.0,,
12709.0,1226-710-1,,12.3537,0.0063,31.566999999999997,1.011,5.0,,,40.8370214710416,19.429175713919,,,,,40.8370214710416,19.429175713919,12709.0,,
13834.0,1230-1425-1,,0.08199999999999999,0.9939,28.1,1.2,5.0,30.342,0.172,44.5217554919028,20.6687325843237,44.5217554919028,20.6687325843237,,,44.5217554919028,20.6687325843237,13834.0,,
